,children,confirm,confirmAdd,confirmAddCut,confirmCompare,continent,date,dead,deadCompare,heal,healCompare,isUpdated,name,nowConfirm,nowConfirmCompare,suspect
0,"[{'name': '纽约', 'date': '04.27', 'nameMap': 'New York', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 293696, 'suspect': 0, 'dead': 22365, 'heal': 32344}, {'name': '新泽西', 'date': '04.27', 'nameMap': 'New Jersey', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 109038, 'suspect': 0, 'dead': 5938, 'heal': 730}, {'name': '马萨诸塞', 'date': '04.27', 'nameMap': 'Massachusetts', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 54938, 'suspect': 0, 'dead': 2899, 'heal': 1299}, {'name': '伊利诺伊', 'date': '04.27', 'nameMap': 'Illinois', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 43903, 'suspect': 0, 'dead': 1933, 'heal': 645}, {'name': '加利福尼亚', 'date': '04.27', 'nameMap': 'California', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 43717, 'suspect': 0, 'dead': 1723, 'heal': 3621}, {'name': '宾夕法尼亚', 'date': '04.27', 'nameMap': 'Pennsylvania', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 42616, 'suspect': 0, 'dead': 1816, 'heal': 692}, {'name': '密歇根州', 'date': '04.27', 'nameMap': 'Michigan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 37778, 'suspect': 0, 'dead': 3315, 'heal': 8342}, {'name': '佛罗里达', 'date': '04.27', 'nameMap': 'Florida', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 31532, 'suspect': 0, 'dead': 1075, 'heal': 174}, {'name': '路易斯安那州', 'date': '04.27', 'nameMap': 'Louisiana', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 26773, 'suspect': 0, 'dead': 1729, 'heal': 14927}, {'name': '康涅狄格', 'date': '04.27', 'nameMap': 'Connecticut', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 25269, 'suspect': 0, 'dead': 1924, 'heal': 63}, {'name': '德克萨斯', 'date': '04.27', 'nameMap': 'Texas', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 24968, 'suspect': 0, 'dead': 651, 'heal': 9227}, {'name': '乔治亚', 'date': '04.27', 'nameMap': 'Georgia', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 23481, 'suspect': 0, 'dead': 916, 'heal': 340}, {'name': '马里兰', 'date': '04.27', 'nameMap': 'Maryland', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 18581, 'suspect': 0, 'dead': 910, 'heal': 1152}, {'name': '俄亥俄州', 'date': '04.27', 'nameMap': 'Ohio', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 15972, 'suspect': 0, 'dead': 728, 'heal': 448}, {'name': '印第安纳', 'date': '04.27', 'nameMap': 'Indiana', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 15012, 'suspect': 0, 'dead': 813, 'heal': 1559}, {'name': '华盛顿州', 'date': '04.27', 'nameMap': 'Washington', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 13782, 'suspect': 0, 'dead': 754, 'heal': 1813}, {'name': '科罗拉多', 'date': '04.27', 'nameMap': 'Colorado', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 13441, 'suspect': 0, 'dead': 688, 'heal': 559}, {'name': '弗吉尼亚', 'date': '04.27', 'nameMap': 'Virginia', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 12970, 'suspect': 0, 'dead': 449, 'heal': 721}, {'name': '田纳西', 'date': '04.27', 'nameMap': 'Tennessee', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 9667, 'suspect': 0, 'dead': 181, 'heal': 4558}, {'name': '北卡罗来纳', 'date': '04.27', 'nameMap': 'North Carolina', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 8997, 'suspect': 0, 'dead': 324, 'heal': 1472}, {'name': '罗德岛', 'date': '04.27', 'nameMap': 'Rhode Island', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 7439, 'suspect': 0, 'dead': 226, 'heal': 433}, {'name': '密苏里州', 'date': '04.27', 'nameMap': 'Missouri', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 7100, 'suspect': 0, 'dead': 281, 'heal': 1564}, {'name': '退伍军人事务部', 'date': '04.27', 'nameMap': 'veteran affair', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 6860, 'suspect': 0, 'dead': 424, 'heal': 0}, {'name': '亚利桑那', 'date': '04.27', 'nameMap': 'Arizona', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 6534, 'suspect': 0, 'dead': 275, 'heal': 6}, {'name': '阿拉巴马州', 'date': '04.27', 'nameMap': 'Alabama', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 6421, 'suspect': 0, 'dead': 219, 'heal': 0}, {'name': '美军', 'date': '04.27', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 6213, 'suspect': 0, 'dead': 26, 'heal': 1947}, {'name': '密西西比州', 'date': '04.27', 'nameMap': 'Mississippi', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 5911, 'suspect': 0, 'dead': 227, 'heal': 0}, {'name': '威斯康星', 'date': '04.27', 'nameMap': 'Wisconsin', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 5911, 'suspect': 0, 'dead': 272, 'heal': 196}, {'name': '南卡罗来纳州', 'date': '04.27', 'nameMap': 'South Carolina', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 5498, 'suspect': 0, 'dead': 174, 'heal': 0}, {'name': '爱荷华州', 'date': '04.27', 'nameMap': 'Iowa', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 5476, 'suspect': 0, 'dead': 118, 'heal': 1903}, {'name': '内华达', 'date': '04.27', 'nameMap': 'Nevada', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 4734, 'suspect': 0, 'dead': 206, 'heal': 2647}, {'name': '犹他', 'date': '04.27', 'nameMap': 'Utah', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 4123, 'suspect': 0, 'dead': 41, 'heal': 324}, {'name': '肯塔基', 'date': '04.27', 'nameMap': 'Kentucky', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 4078, 'suspect': 0, 'dead': 208, 'heal': 1174}, {'name': '特拉华州', 'date': '04.27', 'nameMap': 'Delaware', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 4034, 'suspect': 0, 'dead': 120, 'heal': 911}, {'name': '华盛顿特区', 'date': '04.27', 'nameMap': 'District of Columbia', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3841, 'suspect': 0, 'dead': 178, 'heal': 657}, {'name': '明尼苏达', 'date': '04.27', 'nameMap': 'Minnesota', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3602, 'suspect': 0, 'dead': 272, 'heal': 1774}, {'name': '堪萨斯州', 'date': '04.27', 'nameMap': 'Kansas', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3277, 'suspect': 0, 'dead': 121, 'heal': 643}, {'name': '俄克拉荷马', 'date': '04.27', 'nameMap': 'Oklahoma', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3254, 'suspect': 0, 'dead': 195, 'heal': 2142}, {'name': '内布拉斯加', 'date': '04.27', 'nameMap': 'Nebraska', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3028, 'suspect': 0, 'dead': 56, 'heal': 0}, {'name': '阿肯色州', 'date': '04.27', 'nameMap': 'Arkansas', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3001, 'suspect': 0, 'dead': 50, 'heal': 989}, {'name': '新墨西哥州', 'date': '04.27', 'nameMap': 'New Mexico', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 2726, 'suspect': 0, 'dead': 99, 'heal': 632}, {'name': '俄勒冈', 'date': '04.27', 'nameMap': 'Oregon', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 2311, 'suspect': 0, 'dead': 92, 'heal': 595}, {'name': '南达科塔州', 'date': '04.27', 'nameMap': 'South Dakota', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 2212, 'suspect': 0, 'dead': 11, 'heal': 1257}, {'name': '爱达荷州', 'date': '04.27', 'nameMap': 'Idaho', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1897, 'suspect': 0, 'dead': 56, 'heal': 867}, {'name': '新罕布什尔', 'date': '04.27', 'nameMap': 'New Hampshire', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1864, 'suspect': 0, 'dead': 60, 'heal': 777}, {'name': '纳瓦霍族保留地', 'date': '04.27', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1540, 'suspect': 0, 'dead': 58, 'heal': 0}, {'name': '波多黎各', 'date': '04.27', 'nameMap': 'Puerto Rico', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1371, 'suspect': 0, 'dead': 84, 'heal': 0}, {'name': '联邦监狱局', 'date': '04.27', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1118, 'suspect': 0, 'dead': 27, 'heal': 509}, {'name': '西弗吉尼亚', 'date': '04.27', 'nameMap': 'West Virginia', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1055, 'suspect': 0, 'dead': 34, 'heal': 455}, {'name': '缅因州', 'date': '04.27', 'nameMap': 'Maine', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1015, 'suspect': 0, 'dead': 50, 'heal': 519}, {'name': '北达科他州', 'date': '04.27', 'nameMap': 'North Dakota', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 867, 'suspect': 0, 'dead': 17, 'heal': 326}, {'name': '佛蒙特', 'date': '04.27', 'nameMap': 'Vermont', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 851, 'suspect': 0, 'dead': 46, 'heal': 0}, {'name': '夏威夷', 'date': '04.27', 'nameMap': 'Hawaii', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 606, 'suspect': 0, 'dead': 14, 'heal': 488}, {'name': '怀俄明州', 'date': '04.27', 'nameMap': 'Wyoming', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 502, 'suspect': 0, 'dead': 7, 'heal': 334}, {'name': '蒙大拿', 'date': '04.27', 'nameMap': 'Montana', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 448, 'suspect': 0, 'dead': 14, 'heal': 339}, {'name': '阿拉斯加州', 'date': '04.27', 'nameMap': 'Alaska', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 341, 'suspect': 0, 'dead': 9, 'heal': 217}, {'name': '关岛', 'date': '04.27', 'nameMap': 'Guam', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 141, 'suspect': 0, 'dead': 5, 'heal': 128}, {'name': '至尊公主号邮轮', 'date': '04.27', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 103, 'suspect': 0, 'dead': 3, 'heal': 0}, {'name': '美属维尔京群岛', 'date': '04.27', 'nameMap': 'US Virgin Islands', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 57, 'suspect': 0, 'dead': 4, 'heal': 51}, {'name': '钻石公主号邮轮', 'date': '04.27', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 49, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '北马里亚纳群岛', 'date': '04.27', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 14, 'suspect': 0, 'dead': 2, 'heal': 11}, {'name': '撤回侨民', 'date': '04.27', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 4, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '地区待确认', 'date': '04.02', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 0, 'suspect': 0, 'dead': 0, 'heal': 0}]",1010507,23196,0,42922,北美洲,04.28,56803,1872,138990,31930,True,美国,814714,9120,0
1,,226629,0,0,0,欧洲,04.26,23190,0,117727,0,False,西班牙,85712,0,0
2,"[{'name': '英格兰', 'date': '04.27', 'nameMap': 'England', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 110203, 'suspect': 0, 'dead': 18419, 'heal': 701}, {'name': '苏格兰', 'date': '04.27', 'nameMap': 'Scotland', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 10324, 'suspect': 0, 'dead': 1231, 'heal': 0}, {'name': '威尔士', 'date': '04.27', 'nameMap': 'Wales', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 9078, 'suspect': 0, 'dead': 788, 'heal': 0}, {'name': '北爱尔兰', 'date': '04.27', 'nameMap': 'Northern Ireland', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3308, 'suspect': 0, 'dead': 294, 'heal': 0}]",104145,0,0,0,欧洲,04.17,13759,0,375,0,False,英国,90011,0,0
3,"[{'name': '伦巴第', 'date': '04.27', 'nameMap': 'Lombardy', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 72889, 'suspect': 0, 'dead': 13325, 'heal': 24398}, {'name': '皮埃蒙特', 'date': '04.27', 'nameMap': 'Piemont', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 24820, 'suspect': 0, 'dead': 2823, 'heal': 6478}, {'name': '艾米利亚-罗马涅', 'date': '04.27', 'nameMap': 'Emilia-Romagna', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 24450, 'suspect': 0, 'dead': 3386, 'heal': 8723}, {'name': '威尼托', 'date': '04.27', 'nameMap': 'Veneto', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 17471, 'suspect': 0, 'dead': 1315, 'heal': 7018}, {'name': '托斯卡纳', 'date': '04.27', 'nameMap': 'Tuscany', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 9147, 'suspect': 0, 'dead': 778, 'heal': 2300}, {'name': '利古里亚', 'date': '04.27', 'nameMap': 'Liguria', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 7488, 'suspect': 0, 'dead': 1114, 'heal': 2894}, {'name': '拉齐奥', 'date': '04.27', 'nameMap': 'Lazio', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 6309, 'suspect': 0, 'dead': 389, 'heal': 1347}, {'name': '马尔凯', 'date': '04.27', 'nameMap': 'Marche', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 6111, 'suspect': 0, 'dead': 879, 'heal': 1924}, {'name': '坎帕尼亚', 'date': '04.27', 'nameMap': 'Campania', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 4331, 'suspect': 0, 'dead': 345, 'heal': 1062}, {'name': '阿普利亚', 'date': '04.27', 'nameMap': 'Apulia', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3948, 'suspect': 0, 'dead': 399, 'heal': 612}, {'name': '特伦蒂诺-上阿迪杰', 'date': '04.27', 'nameMap': 'Trentino-Alto Adige - Südtirol', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3894, 'suspect': 0, 'dead': 405, 'heal': 1807}, {'name': '西西里', 'date': '04.27', 'nameMap': 'Sicily', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 3055, 'suspect': 0, 'dead': 228, 'heal': 720}, {'name': '弗留利-威尼斯-朱利亚', 'date': '04.27', 'nameMap': 'Friuli Venezia Giulia', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 2917, 'suspect': 0, 'dead': 264, 'heal': 1405}, {'name': '阿布鲁佐', 'date': '04.27', 'nameMap': 'Abruzzo', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 2859, 'suspect': 0, 'dead': 295, 'heal': 496}, {'name': '博尔扎诺', 'date': '04.27', 'nameMap': 'Bolzano', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 2481, 'suspect': 0, 'dead': 269, 'heal': 1218}, {'name': '翁布里亚', 'date': '04.27', 'nameMap': 'Umbria', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1368, 'suspect': 0, 'dead': 64, 'heal': 1008}, {'name': '撒丁岛', 'date': '04.27', 'nameMap': 'Sardinia', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1280, 'suspect': 0, 'dead': 109, 'heal': 388}, {'name': '瓦莱达奥斯塔', 'date': '04.27', 'nameMap': 'Aosta Valley', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1106, 'suspect': 0, 'dead': 131, 'heal': 721}, {'name': '卡拉布里亚', 'date': '04.27', 'nameMap': 'Calabria', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1089, 'suspect': 0, 'dead': 80, 'heal': 212}, {'name': '巴西利卡塔', 'date': '04.27', 'nameMap': 'Basilicata', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 366, 'suspect': 0, 'dead': 25, 'heal': 122}, {'name': '莫利塞', 'date': '04.27', 'nameMap': 'Molise', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 296, 'suspect': 0, 'dead': 21, 'heal': 75}, {'name': '地区待确认', 'date': '03.30', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 0, 'suspect': 0, 'dead': 0, 'heal': 0}]",97689,0,0,0,欧洲,03.30,10779,0,13030,0,False,意大利,73880,0,0
4,,63929,0,0,0,欧洲,03.30,560,0,9211,0,False,德国,54158,0,0
5,"[{'name': '地区待确认', 'date': '03.30', 'nameMap': '', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 19857, 'suspect': 0, 'dead': 2757, 'heal': 13911}, {'name': '德黑兰省', 'date': '03.23', 'nameMap': 'Tehran', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 5098, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '伊斯法罕省', 'date': '03.23', 'nameMap': 'Esfahan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1979, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '马赞德兰省', 'date': '03.23', 'nameMap': 'Mazandaran', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1700, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '吉兰省', 'date': '03.23', 'nameMap': 'Gilan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1191, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '库姆省', 'date': '03.23', 'nameMap': 'Qom', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1178, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '厄尔布尔士省', 'date': '03.23', 'nameMap': 'Alborz', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 1177, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '中央省', 'date': '03.23', 'nameMap': 'Markazi', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 882, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '拉扎维霍拉桑省', 'date': '03.23', 'nameMap': 'Razavi Khorasan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 858, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '东阿塞拜疆省', 'date': '03.23', 'nameMap': 'East Azarbaijan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 813, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '亚兹德省', 'date': '03.23', 'nameMap': 'Yazd', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 725, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '加兹温省', 'date': '03.23', 'nameMap': 'Qazvin', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 669, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '塞姆南省', 'date': '03.23', 'nameMap': 'Semnan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 645, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '法尔斯省', 'date': '03.23', 'nameMap': 'Fars', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 505, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '洛雷斯坦省', 'date': '03.23', 'nameMap': 'Lorestan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 476, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '胡泽斯坦省', 'date': '03.23', 'nameMap': 'Khuzestan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 444, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '西阿塞拜疆省', 'date': '03.23', 'nameMap': 'West Azarbaijan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 395, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '赞詹省', 'date': '03.23', 'nameMap': 'Zanjan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 394, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '古列斯坦省', 'date': '03.23', 'nameMap': 'Golestan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 391, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '阿尔达比勒省', 'date': '03.23', 'nameMap': 'Ardebil', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 289, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '哈马丹省', 'date': '03.23', 'nameMap': 'Hamadan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 243, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '库尔德斯坦省', 'date': '03.23', 'nameMap': 'Kordestan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 238, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '伊拉姆省', 'date': '03.23', 'nameMap': 'Ilam', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 183, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '南霍拉桑省', 'date': '03.23', 'nameMap': 'South Khorasan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 178, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '克尔曼沙省', 'date': '03.23', 'nameMap': 'Kermanshah', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 175, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '克尔曼省', 'date': '03.23', 'nameMap': 'Kerman', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 169, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '北霍拉桑省', 'date': '03.23', 'nameMap': 'North Khorasan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 165, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '霍尔木兹甘省', 'date': '03.23', 'nameMap': 'Hormozgan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 148, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '锡斯坦俾路支斯坦省', 'date': '03.23', 'nameMap': 'Sistan and Baluchestan', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 134, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '科吉卢耶博韦艾哈迈德省', 'date': '03.23', 'nameMap': 'Kohgiluyeh and Buyer Ahmad', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 73, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '恰马哈勒巴赫蒂亚里省', 'date': '03.23', 'nameMap': 'Chahar Mahall and Bakhtiari', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 68, 'suspect': 0, 'dead': 0, 'heal': 0}, {'name': '布什尔省', 'date': '03.23', 'nameMap': 'Bushehr', 'isUpdated': False, 'confirmAdd': 0, 'confirmAddCut': 0, 'confirm': 55, 'suspect': 0, 'dead': 0, 'heal': 0}]",44606,0,0,0,亚洲,03.31,2898,0,14656,0,False,伊朗,27052,0,0
6,,44526,0,0,0,北美洲,04.25,2386,0,15479,0,False,加拿大,26661,0,0
7,,40751,0,0,0,欧洲,03.30,2612,0,7238,0,False,法国,30901,0,0
8,,15526,0,0,0,欧洲,03.30,312,0,1823,0,False,瑞士,13391,0,0
9,,14476,0,0,0,欧洲,04.17,410,0,8986,0,False,奥地利,5080,0,0
